# frame slotsLen hsa hsub stalled scanIdx slots offsets shot2 rollback
284 5 4 28 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
285 5 4 29 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
286 5 4 30 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
287 5 4 31 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
288 5 4 32 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
289 5 4 33 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
290 5 4 34 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
291 5 4 35 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
292 5 4 36 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
293 5 4 37 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
294 5 4 38 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
295 5 4 39 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
296 5 4 40 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
297 5 4 41 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
298 5 4 42 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
299 5 4 43 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
300 5 4 44 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
301 5 4 45 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
302 5 4 46 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
303 5 4 47 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
304 5 4 48 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
305 5 4 49 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
306 5 4 50 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
307 5 4 51 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
308 5 4 52 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
309 5 4 53 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
310 5 4 54 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
311 5 4 55 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
312 5 4 56 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
313 5 4 57 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
314 5 4 58 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
315 5 4 59 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
316 5 4 60 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
317 5 4 61 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
318 5 4 62 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
319 5 4 63 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
320 5 5 0 0 0 [50052] [0,0,0,0,0] [00000] [0,0,0,0,0]
